ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1985-08-01,18.006,-0.22,-0.78,-0.63,0.48,-0.94,0.55,-0.53,-1.04
1985-09-01,16.015,-0.64,-1.05,-0.49,-0.14,0.030000000000000027,-0.12,-0.63,-0.91
1985-10-01,8.807,-0.29,-1.07,-0.46,1.06,1.0,-0.04,-1.5,-1.73
1985-11-01,1.984,-0.01,-1.02,-0.4,1.71,-2.41,1.35,-1.83,0.8
1985-12-01,-6.5600000000000005,-0.02,-1.1,-0.35,0.63,-0.67,0.31,1.08,0.52
1986-01-01,-7.2959999999999985,-0.21,-0.88,-0.27,0.54,-1.64,0.43,0.6,0.24
1986-02-01,-7.665,-0.73,-0.86,-0.36,1.69,-0.31,-0.2,0.41,0.17
1986-03-01,-0.631,0.26,-0.8,-0.49,-0.88,-0.75,-0.09,0.51,-1.51
1986-04-01,7.244,-0.29,-0.7,-0.47,-0.05,1.93,-2.38,-0.15,0.16
1986-05-01,13.913,-0.29,-0.73,-0.31,-1.11,1.15,-1.0,-0.03,0.6
1986-06-01,15.72,0.05,-0.8,-0.2,-0.07,-0.22,-0.19,0.39,-0.61
1986-07-01,20.08,-0.31,-0.53,-0.12,1.35,-0.75,0.2,-0.35,-1.12
1986-08-01,17.542,0.2,-0.37,-0.04,-1.62,1.25,-0.4,-1.49,1.81
1986-09-01,14.292000000000002,0.59,-0.38,0.22,0.72,0.885,-0.5,-0.28,-0.53
1986-10-01,8.097000000000001,0.76,-0.6,0.44,-0.19,0.52,1.25,1.18,0.72
1986-11-01,0.3450000000000002,0.3,-0.45,0.71,0.87,0.83,-0.74,-0.71,0.37
1986-12-01,-2.9730000000000003,1.35,-0.14,0.94,0.8,0.07,-0.36,1.06,0.24
1987-01-01,-6.087999999999999,1.31,0.17,1.14,1.96,-1.56,1.49,0.63,0.31
1987-02-01,-6.95,0.99,0.3,1.22,1.19,-1.17,-0.84,0.57,-0.4
1987-03-01,0.028000000000000025,1.42,0.53,1.23,-0.05,0.23,0.11,0.85,0.09
1987-04-01,8.062000000000001,1.71,0.78,1.19,1.42,-0.35,0.78,1.54,-0.97
1987-05-01,13.804,1.84,0.92,1.06,0.82,2.55,-1.58,-1.02,-0.96
1987-06-01,18.320999999999998,1.97,1.02,0.95,-0.03,0.87,1.39,0.56,-0.36
1987-07-01,21.439,2.08,1.14,0.97,0.48,1.35,-0.79,-0.43,-1.97
1987-08-01,18.745,2.1,1.0,1.22,1.85,1.54,0.84,0.74,-1.16
1987-09-01,15.259,1.87,0.77,1.51,-0.18,0.3999999999999999,1.54,-2.6,0.04
1987-10-01,6.367000000000001,1.68,0.89,1.7,-0.96,-0.74,0.15,0.75,0.28
1987-11-01,2.3840000000000003,1.14,0.86,1.65,-0.71,-0.49,-1.53,1.19,-0.08
1987-12-01,-1.8800000000000003,0.74,1.11,1.48,-0.98,0.73,-0.95,0.5,-0.04
1988-01-01,-7.053,0.9,1.45,1.25,1.7,-0.68,2.2,0.03,-0.65
1988-02-01,-8.03,0.54,1.66,1.11,-2.46,-0.26,2.27,1.37,0.69
1988-03-01,-2.52,0.54,1.16,0.81,0.17,-1.09,0.83,0.38,-0.27
1988-04-01,5.041,0.18,0.99,0.54,1.22,0.94,-1.85,1.12,-0.56
1988-05-01,13.662,-0.31,1.0,0.14,-1.09,0.97,-1.27,0.61,-0.17
1988-06-01,16.485,-1.3,0.68,-0.31,-1.44,0.49,-0.26,1.31,1.57
1988-07-01,21.75800000000001,-1.11,-0.01,-0.88,-2.23,1.2,2.03,1.6,0.37
1988-08-01,20.366,-1.61,-0.15,-1.3,0.39,-0.67,0.96,-0.62,0.22
1988-09-01,14.482000000000001,-1.64,-0.65,-1.3,-1.03,0.22999999999999987,-1.53,-0.97,0.48
1988-10-01,5.786000000000001,-1.71,-1.57,-1.11,-1.14,1.13,0.55,0.89,1.77
1988-11-01,3.5540000000000003,-1.86,-2.18,-1.19,-0.73,-0.13,-1.19,0.11,1.73
1988-12-01,-4.752,-2.06,-2.06,-1.48,0.54,0.26,-1.04,0.33,0.6
1989-01-01,-4.136,-1.47,-1.48,-1.8,0.39,-0.63,0.66,-1.57,-0.49
1989-02-01,-8.464,-1.55,-1.09,-1.85,0.19,-1.16,0.06,-1.71,1.44
1989-03-01,-3.892,-1.23,-1.55,-1.69,1.19,-0.93,0.21,-1.56,0.93
1989-04-01,3.5950000000000006,-1.14,-1.67,-1.43,0.75,0.1,0.68,-0.77,0.15
1989-05-01,12.201,-1.66,-1.61,-1.08,1.14,0.44,0.42,-0.04,1.75
1989-06-01,17.516,-1.26,-1.44,-0.83,-0.23,-0.19,-0.58,-0.56,1.83
1989-07-01,20.667,-0.74,-0.96,-0.58,-0.28,0.99,-1.42,-0.59,0.3
1989-08-01,18.831,-0.64,-1.01,-0.4,-1.11,-1.31,0.64,-0.27,0.53
1989-09-01,14.584000000000001,-0.04,-0.86,-0.31,-0.04,-1.56,1.19,0.41,-0.2
1989-10-01,8.92,-0.4,-0.83,-0.27,-1.2,-1.81,-0.32,-1.08,-0.15
1989-11-01,0.20400000000000013,-0.51,-0.32,-0.24,-2.04,2.34,-0.07,-0.7,-0.25
1989-12-01,-11.593,0.06,-0.45,-0.22,0.05,0.6,-0.82,0.57,-1.47
