ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1987-11-01,21.494000000000003,0.74,0.99,1.25,0.17,-0.67,0.06,1.19,0.15
1987-12-01,16.282,0.9,1.0,1.11,1.22,0.22999999999999987,0.21,0.5,1.75
1988-01-01,16.046,0.54,0.68,0.81,-1.09,1.13,0.68,0.03,1.83
1988-02-01,19.241,0.54,-0.01,0.54,-1.44,-0.13,0.42,1.37,0.3
1988-03-01,23.526,0.18,-0.15,0.14,-2.23,0.26,-0.58,0.38,0.53
1988-04-01,30.658,-0.31,-0.65,-0.31,0.39,-0.63,-1.42,1.12,-0.2
1988-05-01,35.58900000000001,-1.3,-1.57,-0.88,-1.03,-1.16,0.64,0.61,-0.15
1988-06-01,34.024,-1.11,-2.18,-1.3,-1.14,-0.93,1.19,1.31,-0.25
1988-07-01,30.532,-1.61,-2.06,-1.3,-0.73,0.1,-0.32,1.6,-1.47
1988-08-01,29.636,-1.64,-1.48,-1.11,0.54,0.44,-0.07,-0.62,0.78
1988-09-01,30.24,-1.71,-1.09,-1.19,0.39,-0.19,-0.82,-0.97,-0.83
1988-10-01,26.342,-1.86,-1.55,-1.48,0.19,0.99,-0.66,0.89,-0.56
1988-11-01,20.976000000000006,-2.06,-1.67,-1.8,1.19,-1.31,-0.49,0.11,-0.96
1988-12-01,16.458,-1.47,-1.61,-1.85,0.75,-1.56,0.48,0.33,-0.67
1989-01-01,13.854,-1.55,-1.44,-1.69,1.14,-1.81,0.85,-1.57,1.26
1989-02-01,17.119999999999994,-1.23,-0.96,-1.43,-0.23,2.34,1.82,-1.71,0.53
1989-03-01,22.863000000000003,-1.14,-1.01,-1.08,-0.28,0.6,1.54,-1.56,-1.98
1989-04-01,28.167,-1.66,-0.86,-0.83,-1.11,1.29,0.16,-0.77,-0.28
1989-05-01,33.966,-1.26,-0.83,-0.58,-0.04,0.45,1.33,-0.04,0.36
1989-06-01,33.412000000000006,-0.74,-0.32,-0.4,-1.2,0.09,0.03,-0.56,-0.62
1989-07-01,31.824,-0.64,-0.45,-0.31,-2.04,-1.23,1.0,-0.59,0.89
1989-08-01,30.163,-0.04,-0.4,-0.27,0.05,1.32,-0.11,-0.27,2.52
1989-09-01,29.733,-0.4,-0.3,-0.24,-1.12,0.66,2.15,0.41,0.44
