ds,AverageTemperature,BEST,NINA,ONI,EA_first_difference,EA_seasonal_difference,EA_seasonal_first_difference,EPNP_first_difference,EPNP_seasonal_difference,EPNP_seasonal_first_difference,NAO_first_difference,NAO_seasonal_difference,NAO_seasonal_first_difference,PNA_first_difference,PNA_seasonal_difference,PNA_seasonal_first_difference,WP_first_difference,WP_seasonal_difference,WP_seasonal_first_difference
1979-01-01,13.46,0.26,-0.32,0.03,-1.08,-0.16000000000000003,-0.12,0.41999999999999993,-0.6399999999999997,-0.9349999999999998,-0.5800000000000001,-2.38,-1.8599999999999999,-0.52,-1.67,-1.45,0.1299999999999999,1.44,-0.5300000000000002
1979-02-01,16.178,-0.25,-0.29,0.07,0.5900000000000001,0.78,0.9400000000000001,-2.3000000000000003,-0.6599999999999999,-0.02000000000000024,0.9200000000000002,1.74,4.12,-1.19,-4.13,-2.46,-2.09,-0.51,-1.95
1979-03-01,18.925,0.32,-0.06,0.2,0.1,0.13999999999999999,-0.64,1.01,-0.5499999999999999,0.10999999999999999,1.6099999999999999,0.07999999999999996,-1.6600000000000001,2.81,0.26,4.39,0.37000000000000005,0.97,1.48
1979-04-01,22.652,0.47,0.07,0.28,0.25,-1.07,-1.21,-0.16999999999999993,-0.15999999999999992,0.39,-2.42,-0.5899999999999999,-0.6699999999999998,-0.22999999999999998,0.04000000000000001,-0.22,1.14,0.6699999999999999,-0.30000000000000004
1979-05-01,25.029,-0.18,-0.05,0.23,-0.98,-0.9299999999999999,0.14000000000000012,-1.53,-0.64,-0.4800000000000001,1.1099999999999999,-1.9500000000000002,-1.3600000000000003,1.42,2.0,1.96,-0.98,-0.09,-0.7599999999999999
1979-06-01,28.678,-0.08,-0.15,0.05,1.6099999999999999,0.92,1.85,0.39,-0.98,-0.33999999999999997,2.82,0.21999999999999997,2.17,-2.91,-0.7199999999999999,-2.7199999999999998,1.69,-1.83,-1.74
1979-07-01,28.218000000000004,-0.66,-0.31,0.04,-1.22,-0.8200000000000001,-1.7400000000000002,0.24,-1.94,-0.96,-1.06,1.9700000000000002,1.7500000000000002,2.15,2.9400000000000004,3.66,0.15999999999999992,-0.74,1.09
1979-08-01,28.094,0.48,0.13,0.17,0.020000000000000018,-2.15,-1.3299999999999998,2.06,1.05,2.99,0.2500000000000001,0.41000000000000014,-1.56,0.16000000000000003,0.65,-2.2900000000000005,-0.1499999999999999,0.91,1.65
1979-09-01,25.799,0.37,0.58,0.33,0.15999999999999998,-1.0899999999999999,1.06,-1.2400000000000002,1.06,0.010000000000000009,0.019999999999999796,0.5299999999999999,0.11999999999999977,0.35,-0.3599999999999999,-1.0099999999999998,-1.2200000000000002,-0.5700000000000001,-1.48
1979-10-01,24.096,0.37,0.44,0.45,0.91,-0.7699999999999999,0.31999999999999995,0.29000000000000004,0.44,-0.6200000000000001,-0.95,-2.4299999999999997,-2.9599999999999995,0.8300000000000001,1.1600000000000001,1.52,0.36,1.47,2.04
1979-11-01,20.035,0.5,0.39,0.52,-2.19,-2.64,-1.87,0.050000000000000044,-0.36,-0.8,0.24,-2.64,-0.2100000000000004,-1.34,0.99,-0.17000000000000015,1.77,2.38,0.9099999999999999
1979-12-01,13.504,0.81,0.43,0.64,1.73,-0.09999999999999998,2.54,-0.19499999999999995,-0.9750000000000001,-0.6150000000000001,0.42,2.38,5.02,-1.19,0.33999999999999997,-0.65,-2.45,-1.27,-3.65
1980-01-01,12.568,0.21,0.38,0.59,0.12,1.1,1.2000000000000002,-0.19500000000000006,-1.59,-0.615,-2.2199999999999998,0.7400000000000002,-1.6399999999999997,-0.32999999999999996,0.53,0.19000000000000006,-1.74,-3.1399999999999997,-1.8699999999999997
1980-02-01,13.694,0.21,0.03,0.46,-0.61,-0.09999999999999998,-1.2000000000000002,0.32999999999999996,1.04,2.63,0.9899999999999999,0.8099999999999999,0.06999999999999973,3.04,4.76,4.2299999999999995,1.21,0.16000000000000003,3.3
1980-03-01,17.772000000000006,0.52,-0.18,0.34,-1.1199999999999999,-1.3199999999999998,-1.2199999999999998,-0.71,-0.6799999999999999,-1.72,-0.33999999999999997,-1.14,-1.9499999999999997,-2.67,-0.72,-5.4799999999999995,1.59,1.3800000000000001,1.2200000000000002
1980-04-01,21.426,0.86,-0.2,0.38,1.72,0.15,1.4699999999999998,-0.9,-1.4100000000000001,-0.7300000000000002,1.99,3.2699999999999996,4.409999999999999,2.3,1.8099999999999998,2.53,-0.3700000000000001,-0.13,-1.5100000000000002
