ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1979-01-01,-9.341,0.26,-0.32,0.03,-0.79,2.12,-2.12,-1.54,1.43
1979-02-01,-12.785,-0.25,-0.29,0.07,-0.2,-0.18,-1.2,-2.73,-0.66
1979-03-01,0.20699999999999985,0.32,-0.06,0.2,-0.1,0.83,0.41,0.08,-0.29
1979-04-01,4.2,0.47,0.07,0.28,0.15,0.66,-2.01,-0.15,0.85
1979-05-01,11.436,-0.18,-0.05,0.23,-0.83,-0.87,-0.9,1.27,-0.13
1979-06-01,17.064,-0.08,-0.15,0.05,0.78,-0.48,1.92,-1.64,1.56
1979-07-01,19.595,-0.66,-0.31,0.04,-0.44,-0.24,0.86,0.51,1.72
1979-08-01,17.847,0.48,0.13,0.17,-0.42,1.82,1.11,0.67,1.57
1979-09-01,14.734000000000002,0.37,0.58,0.33,-0.26,0.58,1.13,1.02,0.35
1979-10-01,7.6750000000000025,0.37,0.44,0.45,0.65,0.87,0.18,1.85,0.71
1979-11-01,2.9640000000000004,0.5,0.39,0.52,-1.54,0.92,0.42,0.51,2.48
1979-12-01,-2.7380000000000004,0.81,0.43,0.64,0.19,0.7250000000000001,0.84,-0.68,0.03
1980-01-01,-6.5280000000000005,0.21,0.38,0.59,0.31,0.53,-1.38,-1.01,-1.71
1980-02-01,-9.878,0.21,0.03,0.46,-0.3,0.86,-0.39,2.03,-0.5
1980-03-01,-3.3510000000000004,0.52,-0.18,0.34,-1.42,0.15,-0.73,-0.64,1.09
1980-04-01,5.476,0.86,-0.2,0.38,0.3,-0.75,1.26,1.66,0.72
1980-05-01,12.879,0.44,-0.15,0.48,0.24,-0.7,-1.34,-0.16,1.85
1980-06-01,14.443,0.64,0.08,0.46,-1.86,1.59,-0.07,-0.81,3.29
1980-07-01,19.469,0.26,-0.23,0.25,0.45,-0.35,-0.39,-0.81,0.36
1980-08-01,20.354,-0.12,-0.34,0.03,1.18,-0.15,-3.01,-2.03,-1.39
1980-09-01,14.248,0.26,-0.18,-0.07,-0.04,0.43,0.79,-0.08,-1.68
1980-10-01,5.8100000000000005,0.11,-0.42,0.02,0.04,1.24,-1.41,2.87,0.68
1980-11-01,0.782,0.31,-0.1,0.11,1.35,0.15,-0.52,1.28,0.33
1980-12-01,-7.983,0.33,0.01,-0.01,-1.17,0.585,0.63,-0.57,-2.41
1981-01-01,-11.547,-0.31,-0.71,-0.26,0.11,1.02,-0.08,2.46,-0.82
1981-02-01,-3.702,-0.03,-0.88,-0.5,-1.13,-0.03,0.6,0.21,-0.3
1981-03-01,-1.3430000000000002,0.82,-0.59,-0.47,0.9,0.03,-1.65,1.27,0.35
1981-04-01,6.295,0.18,-0.52,-0.37,1.37,-0.19,0.25,-1.23,0.22
1981-05-01,10.989,-0.35,-0.54,-0.26,0.07,0.48,0.24,1.83,0.16
1981-06-01,16.951,-0.47,-0.43,-0.29,-0.34,-0.82,-0.15,-0.1,-2.09
1981-07-01,19.846,-0.58,-0.6,-0.3,-1.08,-0.94,0.08,-1.02,0.82
1981-08-01,18.837,-0.29,-0.73,-0.25,-2.09,0.7,0.38,-1.54,-0.96
1981-09-01,13.681,-0.19,-0.23,-0.16,-0.73,-0.4,-1.27,0.08,-0.59
1981-10-01,5.8610000000000015,0.32,-0.18,-0.13,-2.08,-0.01,-0.96,-1.43,-0.79
1981-11-01,2.349,-0.15,-0.41,-0.15,-1.23,-1.5,-0.53,1.19,-0.51
1981-12-01,-4.25,-0.11,-0.05,-0.08,-1.62,-0.19499999999999984,-0.11,-0.42,0.74
